iter	Passed	Remaining
0	1	112
1	2	101
2	2	95
3	3	86
4	4	79
5	4	73
6	5	70
7	5	67
8	6	64
9	6	62
10	7	60
11	8	59
12	8	57
13	9	56
14	9	55
15	10	54
16	11	53
17	11	53
18	12	53
19	13	52
20	13	51
21	14	50
22	14	49
23	15	48
24	15	47
25	16	46
26	16	45
27	17	45
28	18	45
29	19	44
30	19	43
31	20	43
32	21	42
33	21	42
34	22	41
35	23	41
36	23	40
37	24	39
38	24	39
39	25	38
40	26	37
41	26	36
42	26	35
43	27	34
44	27	34
45	28	33
46	29	32
47	29	32
48	30	31
49	30	30
50	31	30
51	31	29
52	32	28
53	33	28
54	33	27
55	34	26
56	34	26
57	35	25
58	35	24
59	36	24
60	36	23
61	37	22
62	37	22
63	38	21
64	39	21
65	39	20
66	40	19
67	40	19
68	41	18
69	42	18
70	43	17
71	43	17
72	44	16
73	45	15
74	45	15
75	46	14
76	46	14
77	47	13
78	48	12
79	48	12
80	49	11
81	49	10
82	50	10
83	50	9
84	51	9
85	51	8
86	52	7
87	53	7
88	53	6
89	54	6
90	54	5
91	55	4
92	55	4
93	56	3
94	57	3
95	57	2
96	58	1
97	58	1
98	59	0
99	59	0
