iter	Passed	Remaining
0	115	115451
1	116	58141
2	117	39016
3	118	29450
4	119	23709
5	119	19875
6	120	17120
7	121	15066
8	122	13471
9	123	12188
10	123	11143
11	124	10266
12	125	9522
13	126	8886
14	127	8341
15	127	7861
16	128	7431
17	129	7047
18	129	6701
19	130	6394
20	131	6113
21	131	5859
22	132	5625
23	133	5411
24	133	5220
25	134	5044
26	135	4879
27	136	4721
28	136	4573
29	137	4442
30	138	4325
31	139	4209
32	139	4101
33	140	3994
34	141	3894
35	141	3801
36	142	3711
37	143	3627
38	143	3547
39	144	3473
40	145	3401
41	146	3338
42	147	3275
43	147	3215
44	148	3154
45	149	3096
46	149	3040
47	150	2986
48	151	2934
49	151	2886
50	152	2837
51	153	2791
52	153	2747
53	154	2705
54	155	2663
55	155	2623
56	156	2584
57	156	2547
58	157	2511
59	158	2476
60	158	2446
61	159	2415
62	160	2383
63	160	2353
64	161	2324
65	162	2296
66	162	2267
67	163	2241
68	164	2215
69	164	2190
70	165	2168
71	166	2144
72	167	2121
73	167	2099
74	168	2078
75	169	2058
76	170	2039
77	170	2020
78	171	2001
79	172	1983
80	173	1963
81	173	1946
82	174	1924
83	174	1908
84	175	1892
85	176	1876
86	177	1860
87	177	1843
88	178	1827
89	179	1811
90	180	1798
91	180	1784
92	181	1770
93	182	1756
94	183	1743
95	183	1731
96	184	1718
97	185	1705
98	185	1692
99	186	1680
100	187	1668
101	188	1656
102	188	1645
103	189	1633
104	190	1622
105	191	1611
106	191	1601
107	192	1589
108	193	1579
109	193	1568
110	194	1558
111	195	1547
112	195	1536
113	196	1526
114	197	1516
115	197	1506
116	198	1495
117	198	1485
118	199	1475
119	199	1466
120	200	1457
121	201	1447
122	201	1438
123	202	1429
124	203	1421
125	203	1413
126	204	1403
127	204	1396
128	205	1388
129	206	1380
130	206	1373
131	207	1365
132	208	1358
133	209	1351
134	209	1344
135	210	1337
136	211	1331
137	212	1324
138	212	1317
139	213	1310
140	214	1304
141	214	1295
142	215	1289
143	216	1284
144	216	1277
145	217	1271
146	217	1264
147	218	1258
148	219	1252
149	219	1245
150	220	1239
151	221	1233
152	221	1227
153	222	1221
154	223	1215
155	223	1210
156	224	1204
157	225	1199
158	225	1193
159	226	1188
160	226	1182
161	227	1176
162	228	1171
